"gener"	"sex"	"dipl"	"statut"	"Freq"
"0.5"	"Femmes"	"Aucun"	"Chômeurs"	0
"10.14"	"Femmes"	"Aucun"	"Chômeurs"	0
"15.19"	"Femmes"	"Aucun"	"Chômeurs"	0
"20.24"	"Femmes"	"Aucun"	"Chômeurs"	3
"25.29"	"Femmes"	"Aucun"	"Chômeurs"	5
"30.34"	"Femmes"	"Aucun"	"Chômeurs"	78
"35.39"	"Femmes"	"Aucun"	"Chômeurs"	101
"40.44"	"Femmes"	"Aucun"	"Chômeurs"	94
"45.49"	"Femmes"	"Aucun"	"Chômeurs"	114
"50.54"	"Femmes"	"Aucun"	"Chômeurs"	147
"55.59"	"Femmes"	"Aucun"	"Chômeurs"	244
"5.9"	"Femmes"	"Aucun"	"Chômeurs"	0
"60.64"	"Femmes"	"Aucun"	"Chômeurs"	332
"65.69"	"Femmes"	"Aucun"	"Chômeurs"	0
"70.74"	"Femmes"	"Aucun"	"Chômeurs"	0
"75.79"	"Femmes"	"Aucun"	"Chômeurs"	0
"80.84"	"Femmes"	"Aucun"	"Chômeurs"	0
"85.89"	"Femmes"	"Aucun"	"Chômeurs"	0
"90.94"	"Femmes"	"Aucun"	"Chômeurs"	0
"95."	"Femmes"	"Aucun"	"Chômeurs"	0
"0.5"	"Hommes"	"Aucun"	"Chômeurs"	0
"10.14"	"Hommes"	"Aucun"	"Chômeurs"	0
"15.19"	"Hommes"	"Aucun"	"Chômeurs"	0
"20.24"	"Hommes"	"Aucun"	"Chômeurs"	0
"25.29"	"Hommes"	"Aucun"	"Chômeurs"	4
"30.34"	"Hommes"	"Aucun"	"Chômeurs"	69
"35.39"	"Hommes"	"Aucun"	"Chômeurs"	145
"40.44"	"Hommes"	"Aucun"	"Chômeurs"	226
"45.49"	"Hommes"	"Aucun"	"Chômeurs"	210
"50.54"	"Hommes"	"Aucun"	"Chômeurs"	265
"55.59"	"Hommes"	"Aucun"	"Chômeurs"	273
"5.9"	"Hommes"	"Aucun"	"Chômeurs"	0
"60.64"	"Hommes"	"Aucun"	"Chômeurs"	81
"65.69"	"Hommes"	"Aucun"	"Chômeurs"	0
"70.74"	"Hommes"	"Aucun"	"Chômeurs"	0
"75.79"	"Hommes"	"Aucun"	"Chômeurs"	0
"80.84"	"Hommes"	"Aucun"	"Chômeurs"	0
"85.89"	"Hommes"	"Aucun"	"Chômeurs"	0
"90.94"	"Hommes"	"Aucun"	"Chômeurs"	0
"95."	"Hommes"	"Aucun"	"Chômeurs"	0
"0.5"	"Femmes"	"CITE1"	"Chômeurs"	0
"10.14"	"Femmes"	"CITE1"	"Chômeurs"	0
"15.19"	"Femmes"	"CITE1"	"Chômeurs"	252
"20.24"	"Femmes"	"CITE1"	"Chômeurs"	2731
"25.29"	"Femmes"	"CITE1"	"Chômeurs"	1519
"30.34"	"Femmes"	"CITE1"	"Chômeurs"	1758
"35.39"	"Femmes"	"CITE1"	"Chômeurs"	2254
"40.44"	"Femmes"	"CITE1"	"Chômeurs"	2764
"45.49"	"Femmes"	"CITE1"	"Chômeurs"	3515
"50.54"	"Femmes"	"CITE1"	"Chômeurs"	6318
"55.59"	"Femmes"	"CITE1"	"Chômeurs"	6481
"5.9"	"Femmes"	"CITE1"	"Chômeurs"	0
"60.64"	"Femmes"	"CITE1"	"Chômeurs"	1458
"65.69"	"Femmes"	"CITE1"	"Chômeurs"	0
"70.74"	"Femmes"	"CITE1"	"Chômeurs"	0
"75.79"	"Femmes"	"CITE1"	"Chômeurs"	0
"80.84"	"Femmes"	"CITE1"	"Chômeurs"	0
"85.89"	"Femmes"	"CITE1"	"Chômeurs"	0
"90.94"	"Femmes"	"CITE1"	"Chômeurs"	0
"95."	"Femmes"	"CITE1"	"Chômeurs"	0
"0.5"	"Hommes"	"CITE1"	"Chômeurs"	0
"10.14"	"Hommes"	"CITE1"	"Chômeurs"	0
"15.19"	"Hommes"	"CITE1"	"Chômeurs"	388
"20.24"	"Hommes"	"CITE1"	"Chômeurs"	4261
"25.29"	"Hommes"	"CITE1"	"Chômeurs"	2467
"30.34"	"Hommes"	"CITE1"	"Chômeurs"	3372
"35.39"	"Hommes"	"CITE1"	"Chômeurs"	4348
"40.44"	"Hommes"	"CITE1"	"Chômeurs"	4985
"45.49"	"Hommes"	"CITE1"	"Chômeurs"	6309
"50.54"	"Hommes"	"CITE1"	"Chômeurs"	9066
"55.59"	"Hommes"	"CITE1"	"Chômeurs"	7916
"5.9"	"Hommes"	"CITE1"	"Chômeurs"	0
"60.64"	"Hommes"	"CITE1"	"Chômeurs"	784
"65.69"	"Hommes"	"CITE1"	"Chômeurs"	0
"70.74"	"Hommes"	"CITE1"	"Chômeurs"	0
"75.79"	"Hommes"	"CITE1"	"Chômeurs"	0
"80.84"	"Hommes"	"CITE1"	"Chômeurs"	0
"85.89"	"Hommes"	"CITE1"	"Chômeurs"	0
"90.94"	"Hommes"	"CITE1"	"Chômeurs"	0
"95."	"Hommes"	"CITE1"	"Chômeurs"	0
"0.5"	"Femmes"	"CITE2"	"Chômeurs"	0
"10.14"	"Femmes"	"CITE2"	"Chômeurs"	0
"15.19"	"Femmes"	"CITE2"	"Chômeurs"	1326
"20.24"	"Femmes"	"CITE2"	"Chômeurs"	7668
"25.29"	"Femmes"	"CITE2"	"Chômeurs"	6460
"30.34"	"Femmes"	"CITE2"	"Chômeurs"	4863
"35.39"	"Femmes"	"CITE2"	"Chômeurs"	5281
"40.44"	"Femmes"	"CITE2"	"Chômeurs"	5677
"45.49"	"Femmes"	"CITE2"	"Chômeurs"	6181
"50.54"	"Femmes"	"CITE2"	"Chômeurs"	9121
"55.59"	"Femmes"	"CITE2"	"Chômeurs"	9816
"5.9"	"Femmes"	"CITE2"	"Chômeurs"	0
"60.64"	"Femmes"	"CITE2"	"Chômeurs"	2281
"65.69"	"Femmes"	"CITE2"	"Chômeurs"	0
"70.74"	"Femmes"	"CITE2"	"Chômeurs"	0
"75.79"	"Femmes"	"CITE2"	"Chômeurs"	0
"80.84"	"Femmes"	"CITE2"	"Chômeurs"	0
"85.89"	"Femmes"	"CITE2"	"Chômeurs"	0
"90.94"	"Femmes"	"CITE2"	"Chômeurs"	0
"95."	"Femmes"	"CITE2"	"Chômeurs"	0
"0.5"	"Hommes"	"CITE2"	"Chômeurs"	0
"10.14"	"Hommes"	"CITE2"	"Chômeurs"	0
"15.19"	"Hommes"	"CITE2"	"Chômeurs"	1770
"20.24"	"Hommes"	"CITE2"	"Chômeurs"	9282
"25.29"	"Hommes"	"CITE2"	"Chômeurs"	8795
"30.34"	"Hommes"	"CITE2"	"Chômeurs"	6056
"35.39"	"Hommes"	"CITE2"	"Chômeurs"	6135
"40.44"	"Hommes"	"CITE2"	"Chômeurs"	6430
"45.49"	"Hommes"	"CITE2"	"Chômeurs"	6615
"50.54"	"Hommes"	"CITE2"	"Chômeurs"	7511
"55.59"	"Hommes"	"CITE2"	"Chômeurs"	6249
"5.9"	"Hommes"	"CITE2"	"Chômeurs"	0
"60.64"	"Hommes"	"CITE2"	"Chômeurs"	771
"65.69"	"Hommes"	"CITE2"	"Chômeurs"	0
"70.74"	"Hommes"	"CITE2"	"Chômeurs"	0
"75.79"	"Hommes"	"CITE2"	"Chômeurs"	0
"80.84"	"Hommes"	"CITE2"	"Chômeurs"	0
"85.89"	"Hommes"	"CITE2"	"Chômeurs"	0
"90.94"	"Hommes"	"CITE2"	"Chômeurs"	0
"95."	"Hommes"	"CITE2"	"Chômeurs"	0
"0.5"	"Femmes"	"CITE3"	"Chômeurs"	0
"10.14"	"Femmes"	"CITE3"	"Chômeurs"	0
"15.19"	"Femmes"	"CITE3"	"Chômeurs"	522
"20.24"	"Femmes"	"CITE3"	"Chômeurs"	8928
"25.29"	"Femmes"	"CITE3"	"Chômeurs"	11402
"30.34"	"Femmes"	"CITE3"	"Chômeurs"	9880
"35.39"	"Femmes"	"CITE3"	"Chômeurs"	8055
"40.44"	"Femmes"	"CITE3"	"Chômeurs"	8069
"45.49"	"Femmes"	"CITE3"	"Chômeurs"	7221
"50.54"	"Femmes"	"CITE3"	"Chômeurs"	8206
"55.59"	"Femmes"	"CITE3"	"Chômeurs"	8298
"5.9"	"Femmes"	"CITE3"	"Chômeurs"	0
"60.64"	"Femmes"	"CITE3"	"Chômeurs"	1777
"65.69"	"Femmes"	"CITE3"	"Chômeurs"	0
"70.74"	"Femmes"	"CITE3"	"Chômeurs"	0
"75.79"	"Femmes"	"CITE3"	"Chômeurs"	0
"80.84"	"Femmes"	"CITE3"	"Chômeurs"	0
"85.89"	"Femmes"	"CITE3"	"Chômeurs"	0
"90.94"	"Femmes"	"CITE3"	"Chômeurs"	0
"95."	"Femmes"	"CITE3"	"Chômeurs"	0
"0.5"	"Hommes"	"CITE3"	"Chômeurs"	0
"10.14"	"Hommes"	"CITE3"	"Chômeurs"	0
"15.19"	"Hommes"	"CITE3"	"Chômeurs"	607
"20.24"	"Hommes"	"CITE3"	"Chômeurs"	9208
"25.29"	"Hommes"	"CITE3"	"Chômeurs"	10648
"30.34"	"Hommes"	"CITE3"	"Chômeurs"	8918
"35.39"	"Hommes"	"CITE3"	"Chômeurs"	7099
"40.44"	"Hommes"	"CITE3"	"Chômeurs"	6733
"45.49"	"Hommes"	"CITE3"	"Chômeurs"	6104
"50.54"	"Hommes"	"CITE3"	"Chômeurs"	6202
"55.59"	"Hommes"	"CITE3"	"Chômeurs"	5392
"5.9"	"Hommes"	"CITE3"	"Chômeurs"	0
"60.64"	"Hommes"	"CITE3"	"Chômeurs"	737
"65.69"	"Hommes"	"CITE3"	"Chômeurs"	0
"70.74"	"Hommes"	"CITE3"	"Chômeurs"	0
"75.79"	"Hommes"	"CITE3"	"Chômeurs"	0
"80.84"	"Hommes"	"CITE3"	"Chômeurs"	0
"85.89"	"Hommes"	"CITE3"	"Chômeurs"	0
"90.94"	"Hommes"	"CITE3"	"Chômeurs"	0
"95."	"Hommes"	"CITE3"	"Chômeurs"	0
"0.5"	"Femmes"	"CITE4"	"Chômeurs"	0
"10.14"	"Femmes"	"CITE4"	"Chômeurs"	0
"15.19"	"Femmes"	"CITE4"	"Chômeurs"	49
"20.24"	"Femmes"	"CITE4"	"Chômeurs"	1342
