"com"	"gener"	"COUNT"
91005	"0.5"	405
91013	"0.5"	561
91015	"0.5"	159
91030	"0.5"	891
91034	"0.5"	802
91054	"0.5"	235
91059	"0.5"	498
91064	"0.5"	351
91072	"0.5"	271
91103	"0.5"	170
91114	"0.5"	718
91120	"0.5"	293
91141	"0.5"	552
91142	"0.5"	290
91143	"0.5"	101
92003	"0.5"	1643
92006	"0.5"	447
92035	"0.5"	996
92045	"0.5"	496
92048	"0.5"	580
92054	"0.5"	416
92087	"0.5"	752
92094	"0.5"	6024
92097	"0.5"	307
92101	"0.5"	620
92114	"0.5"	566
92137	"0.5"	1566
92138	"0.5"	498
92140	"0.5"	1101
92141	"0.5"	605
92142	"0.5"	1527
93010	"0.5"	314
93014	"0.5"	758
93018	"0.5"	158
93022	"0.5"	630
93056	"0.5"	477
93088	"0.5"	961
93090	"0.5"	295
91005	"10.14"	434
91013	"10.14"	556
91015	"10.14"	186
91030	"10.14"	908
91034	"10.14"	804
91054	"10.14"	262
91059	"10.14"	444
91064	"10.14"	343
91072	"10.14"	243
91103	"10.14"	201
91114	"10.14"	831
91120	"10.14"	345
91141	"10.14"	613
91142	"10.14"	296
91143	"10.14"	170
92003	"10.14"	1611
92006	"10.14"	449
92035	"10.14"	957
92045	"10.14"	516
92048	"10.14"	665
92054	"10.14"	468
92087	"10.14"	814
92094	"10.14"	5787
92097	"10.14"	337
92101	"10.14"	754
92114	"10.14"	563
92137	"10.14"	1620
92138	"10.14"	501
92140	"10.14"	1273
92141	"10.14"	612
92142	"10.14"	1334
93010	"10.14"	335
93014	"10.14"	804
93018	"10.14"	195
93022	"10.14"	636
93056	"10.14"	531
93088	"10.14"	1133
93090	"10.14"	320
91005	"15.19"	427
91013	"15.19"	601
91015	"15.19"	218
91030	"15.19"	1018
91034	"15.19"	892
91054	"15.19"	289
91059	"15.19"	494
91064	"15.19"	362
91072	"15.19"	296
91103	"15.19"	195
91114	"15.19"	778
91120	"15.19"	288
91141	"15.19"	599
91142	"15.19"	314
91143	"15.19"	188
92003	"15.19"	1611
92006	"15.19"	458
92035	"15.19"	971
92045	"15.19"	512
92048	"15.19"	678
92054	"15.19"	468
92087	"15.19"	852
92094	"15.19"	6340
92097	"15.19"	305
92101	"15.19"	812
92114	"15.19"	559
92137	"15.19"	1690
92138	"15.19"	471
92140	"15.19"	1211
92141	"15.19"	557
92142	"15.19"	1423
93010	"15.19"	321
93014	"15.19"	881
93018	"15.19"	205
93022	"15.19"	711
93056	"15.19"	508
93088	"15.19"	1112
93090	"15.19"	365
91005	"20.24"	456
91013	"20.24"	556
91015	"20.24"	203
91030	"20.24"	1068
91034	"20.24"	962
91054	"20.24"	263
91059	"20.24"	459
91064	"20.24"	307
91072	"20.24"	303
91103	"20.24"	220
91114	"20.24"	788
91120	"20.24"	303
91141	"20.24"	500
91142	"20.24"	286
91143	"20.24"	141
92003	"20.24"	1584
92006	"20.24"	415
92035	"20.24"	922
92045	"20.24"	460
92048	"20.24"	640
92054	"20.24"	413
92087	"20.24"	832
92094	"20.24"	7992
92097	"20.24"	302
92101	"20.24"	717
92114	"20.24"	457
92137	"20.24"	1759
92138	"20.24"	431
92140	"20.24"	1085
92141	"20.24"	557
92142	"20.24"	1586
93010	"20.24"	284
93014	"20.24"	891
93018	"20.24"	160
93022	"20.24"	745
93056	"20.24"	588
93088	"20.24"	1090
93090	"20.24"	368
91005	"25.29"	412
91013	"25.29"	510
91015	"25.29"	195
91030	"25.29"	1014
91034	"25.29"	826
91054	"25.29"	237
91059	"25.29"	424
91064	"25.29"	285
91072	"25.29"	262
91103	"25.29"	182
91114	"25.29"	774
91120	"25.29"	234
91141	"25.29"	495
91142	"25.29"	259
91143	"25.29"	94
92003	"25.29"	1535
92006	"25.29"	372
92035	"25.29"	861
92045	"25.29"	410
92048	"25.29"	559
92054	"25.29"	353
92087	"25.29"	720
92094	"25.29"	8240
92097	"25.29"	287
92101	"25.29"	609
92114	"25.29"	366
92137	"25.29"	1633
92138	"25.29"	387
92140	"25.29"	1004
92141	"25.29"	491
92142	"25.29"	1684
93010	"25.29"	275
93014	"25.29"	716
93018	"25.29"	138
93022	"25.29"	648
93056	"25.29"	501
93088	"25.29"	999
93090	"25.29"	308
91005	"30.34"	403
91013	"30.34"	476
91015	"30.34"	166
91030	"30.34"	992
91034	"30.34"	771
91054	"30.34"	207
91059	"30.34"	473
91064	"30.34"	296
91072	"30.34"	264
91103	"30.34"	184
91114	"30.34"	698
91120	"30.34"	275
91141	"30.34"	555
91142	"30.34"	256
91143	"30.34"	100
92003	"30.34"	1625
92006	"30.34"	451
92035	"30.34"	994
92045	"30.34"	529
92048	"30.34"	562
92054	"30.34"	424
92087	"30.34"	754
92094	"30.34"	7302
92097	"30.34"	299
92101	"30.34"	657
92114	"30.34"	536
92137	"30.34"	1690
92138	"30.34"	474
92140	"30.34"	1114
92141	"30.34"	575
92142	"30.34"	1794
93010	"30.34"	287
93014	"30.34"	753
93018	"30.34"	147
93022	"30.34"	675
93056	"30.34"	504
93088	"30.34"	1063
93090	"30.34"	297
91005	"35.39"	432
91013	"35.39"	531
91015	"35.39"	181
91030	"35.39"	975
91034	"35.39"	823
91054	"35.39"	267
91059	"35.39"	483
91064	"35.39"	332
91072	"35.39"	274
91103	"35.39"	175
91114	"35.39"	791
91120	"35.39"	335
91141	"35.39"	631
91142	"35.39"	330
91143	"35.39"	145
92003	"35.39"	1750
92006	"35.39"	452
92035	"35.39"	1053
92045	"35.39"	600
92048	"35.39"	737
92054	"35.39"	506
92087	"35.39"	937
92094	"35.39"	6898
92097	"35.39"	349
92101	"35.39"	799
92114	"35.39"	585
92137	"35.39"	1821
92138	"35.39"	547
92140	"35.39"	1370
92141	"35.39"	662
92142	"35.39"	1672
93010	"35.39"	391
93014	"35.39"	841
93018	"35.39"	192
93022	"35.39"	758
93056	"35.39"	561
93088	"35.39"	1236
93090	"35.39"	354
91005	"40.44"	494
91013	"40.44"	615
91015	"40.44"	208
91030	"40.44"	1033
91034	"40.44"	906
91054	"40.44"	291
91059	"40.44"	490
91064	"40.44"	365
91072	"40.44"	333
91103	"40.44"	222
91114	"40.44"	849
91120	"40.44"	395
91141	"40.44"	692
91142	"40.44"	404
91143	"40.44"	182
92003	"40.44"	1756
92006	"40.44"	508
92035	"40.44"	1126
92045	"40.44"	605
92048	"40.44"	770
92054	"40.44"	495
92087	"40.44"	973
92094	"40.44"	6830
92097	"40.44"	358
92101	"40.44"	874
92114	"40.44"	658
92137	"40.44"	1853
92138	"40.44"	509
92140	"40.44"	1434
92141	"40.44"	656
92142	"40.44"	1663
93010	"40.44"	310
93014	"40.44"	943
93018	"40.44"	196
93022	"40.44"	751
93056	"40.44"	657
93088	"40.44"	1341
93090	"40.44"	395
91005	"45.49"	538
91013	"45.49"	594
91015	"45.49"	232
91030	"45.49"	1156
91034	"45.49"	991
91054	"45.49"	322
91059	"45.49"	514
91064	"45.49"	367
91072	"45.49"	354
91103	"45.49"	245
91114	"45.49"	959
91120	"45.49"	419
91141	"45.49"	647
91142	"45.49"	413
91143	"45.49"	216
92003	"45.49"	1846
92006	"45.49"	493
92035	"45.49"	1203
92045	"45.49"	600
92048	"45.49"	735
92054	"45.49"	568
92087	"45.49"	1013
92094	"45.49"	7520
92097	"45.49"	339
92101	"45.49"	960
92114	"45.49"	655
92137	"45.49"	2045
92138	"45.49"	537
92140	"45.49"	1454
92141	"45.49"	686
92142	"45.49"	1723
93010	"45.49"	370
93014	"45.49"	1054
93018	"45.49"	208
93022	"45.49"	819
93056	"45.49"	734
93088	"45.49"	1418
93090	"45.49"	419
91005	"50.54"	512
91013	"50.54"	650
91015	"50.54"	235
91030	"50.54"	1172
91034	"50.54"	919
91054	"50.54"	303
91059	"50.54"	487
91064	"50.54"	316
91072	"50.54"	328
91103	"50.54"	217
91114	"50.54"	869
91120	"50.54"	350
91141	"50.54"	620
91142	"50.54"	457
91143	"50.54"	239
92003	"50.54"	1822
92006	"50.54"	461
92035	"50.54"	1080
92045	"50.54"	492
92048	"50.54"	748
92054	"50.54"	486
92087	"50.54"	912
92094	"50.54"	7647
92097	"50.54"	330
92101	"50.54"	791
92114	"50.54"	576
92137	"50.54"	1982
92138	"50.54"	536
92140	"50.54"	1246
92141	"50.54"	611
92142	"50.54"	1546
93010	"50.54"	351
93014	"50.54"	990
93018	"50.54"	185
93022	"50.54"	837
93056	"50.54"	663
93088	"50.54"	1353
93090	"50.54"	438
91005	"55.59"	488
91013	"55.59"	543
91015	"55.59"	214
91030	"55.59"	1011
91034	"55.59"	902
91054	"55.59"	279
91059	"55.59"	464
91064	"55.59"	316
91072	"55.59"	291
91103	"55.59"	226
91114	"55.59"	739
91120	"55.59"	322
91141	"55.59"	561
91142	"55.59"	461
91143	"55.59"	197
92003	"55.59"	1619
92006	"55.59"	448
92035	"55.59"	929
92045	"55.59"	561
92048	"55.59"	657
92054	"55.59"	441
92087	"55.59"	787
92094	"55.59"	7282
92097	"55.59"	310
92101	"55.59"	776
92114	"55.59"	482
92137	"55.59"	1850
92138	"55.59"	432
92140	"55.59"	1210
92141	"55.59"	568
92142	"55.59"	1473
93010	"55.59"	314
93014	"55.59"	933
93018	"55.59"	175
93022	"55.59"	805
93056	"55.59"	575
93088	"55.59"	1313
93090	"55.59"	373
91005	"5.9"	399
91013	"5.9"	536
91015	"5.9"	179
91030	"5.9"	862
91034	"5.9"	721
91054	"5.9"	267
91059	"5.9"	462
91064	"5.9"	342
91072	"5.9"	260
91103	"5.9"	191
91114	"5.9"	741
91120	"5.9"	291
91141	"5.9"	536
91142	"5.9"	264
91143	"5.9"	141
92003	"5.9"	1544
92006	"5.9"	432
92035	"5.9"	1009
92045	"5.9"	503
92048	"5.9"	633
92054	"5.9"	480
92087	"5.9"	783
92094	"5.9"	5620
92097	"5.9"	316
92101	"5.9"	738
92114	"5.9"	517
92137	"5.9"	1557
92138	"5.9"	465
