"com"	"dipl"	"COUNT"
91005	"Aucun"	172
91013	"Aucun"	218
91015	"Aucun"	123
91030	"Aucun"	491
91034	"Aucun"	349
91054	"Aucun"	182
91059	"Aucun"	173
91064	"Aucun"	113
91072	"Aucun"	140
91103	"Aucun"	69
91114	"Aucun"	300
91120	"Aucun"	127
91141	"Aucun"	175
91142	"Aucun"	222
91143	"Aucun"	109
92003	"Aucun"	743
92006	"Aucun"	96
92035	"Aucun"	381
92045	"Aucun"	173
92048	"Aucun"	234
92054	"Aucun"	124
92087	"Aucun"	352
92094	"Aucun"	2519
92097	"Aucun"	71
92101	"Aucun"	202
92114	"Aucun"	206
92137	"Aucun"	1064
92138	"Aucun"	133
92140	"Aucun"	545
92141	"Aucun"	155
92142	"Aucun"	414
93010	"Aucun"	115
93014	"Aucun"	584
93018	"Aucun"	129
93022	"Aucun"	324
93056	"Aucun"	263
93088	"Aucun"	468
93090	"Aucun"	229
91005	"CITE1"	678
91013	"CITE1"	917
91015	"CITE1"	431
91030	"CITE1"	1441
91034	"CITE1"	1432
91054	"CITE1"	555
91059	"CITE1"	545
91064	"CITE1"	434
91072	"CITE1"	435
91103	"CITE1"	320
91114	"CITE1"	1192
91120	"CITE1"	478
91141	"CITE1"	723
91142	"CITE1"	858
91143	"CITE1"	453
92003	"CITE1"	2593
92006	"CITE1"	421
92035	"CITE1"	1240
92045	"CITE1"	644
92048	"CITE1"	956
92054	"CITE1"	415
92087	"CITE1"	1208
92094	"CITE1"	10056
92097	"CITE1"	304
92101	"CITE1"	776
92114	"CITE1"	794
92137	"CITE1"	3347
92138	"CITE1"	532
92140	"CITE1"	2029
92141	"CITE1"	587
92142	"CITE1"	1668
93010	"CITE1"	460
93014	"CITE1"	1657
93018	"CITE1"	338
93022	"CITE1"	1111
93056	"CITE1"	956
93088	"CITE1"	1546
93090	"CITE1"	777
91005	"CITE2"	1636
91013	"CITE2"	2142
91015	"CITE2"	758
91030	"CITE2"	3719
91034	"CITE2"	3290
91054	"CITE2"	1118
91059	"CITE2"	1463
91064	"CITE2"	1083
91072	"CITE2"	1072
91103	"CITE2"	732
91114	"CITE2"	2998
91120	"CITE2"	1199
91141	"CITE2"	1840
91142	"CITE2"	1577
91143	"CITE2"	716
92003	"CITE2"	6305
92006	"CITE2"	1311
92035	"CITE2"	3260
92045	"CITE2"	1670
92048	"CITE2"	2355
92054	"CITE2"	1324
92087	"CITE2"	2873
92094	"CITE2"	23911
92097	"CITE2"	1073
92101	"CITE2"	2305
92114	"CITE2"	1671
92137	"CITE2"	7019
92138	"CITE2"	1437
92140	"CITE2"	4319
92141	"CITE2"	1685
92142	"CITE2"	4689
93010	"CITE2"	1182
93014	"CITE2"	3427
93018	"CITE2"	680
93022	"CITE2"	2737
93056	"CITE2"	2283
93088	"CITE2"	4234
93090	"CITE2"	1454
91005	"CITE3"	1966
91013	"CITE3"	2223
91015	"CITE3"	817
91030	"CITE3"	4092
91034	"CITE3"	3590
91054	"CITE3"	1052
91059	"CITE3"	1818
91064	"CITE3"	1257
91072	"CITE3"	1242
91103	"CITE3"	842
91114	"CITE3"	3405
91120	"CITE3"	1273
91141	"CITE3"	2114
91142	"CITE3"	1435
91143	"CITE3"	652
92003	"CITE3"	6590
92006	"CITE3"	1702
92035	"CITE3"	3746
92045	"CITE3"	1893
92048	"CITE3"	2499
92054	"CITE3"	1643
92087	"CITE3"	3261
92094	"CITE3"	27136
92097	"CITE3"	1251
92101	"CITE3"	2907
92114	"CITE3"	1841
92137	"CITE3"	6885
92138	"CITE3"	1742
92140	"CITE3"	4632
92141	"CITE3"	2063
92142	"CITE3"	5568
93010	"CITE3"	1264
93014	"CITE3"	3440
93018	"CITE3"	729
93022	"CITE3"	3062
93056	"CITE3"	2373
93088	"CITE3"	4713
93090	"CITE3"	1550
91005	"CITE4"	112
91013	"CITE4"	183
91015	"CITE4"	48
91030	"CITE4"	231
91034	"CITE4"	193
91054	"CITE4"	69
91059	"CITE4"	93
91064	"CITE4"	82
91072	"CITE4"	93
91103	"CITE4"	55
91114	"CITE4"	144
91120	"CITE4"	82
91141	"CITE4"	133
91142	"CITE4"	87
91143	"CITE4"	42
92003	"CITE4"	344
92006	"CITE4"	91
92035	"CITE4"	202
92045	"CITE4"	112
92048	"CITE4"	162
92054	"CITE4"	113
92087	"CITE4"	196
92094	"CITE4"	1568
92097	"CITE4"	68
92101	"CITE4"	168
92114	"CITE4"	127
92137	"CITE4"	408
92138	"CITE4"	95
92140	"CITE4"	248
92141	"CITE4"	135
92142	"CITE4"	318
93010	"CITE4"	71
93014	"CITE4"	232
93018	"CITE4"	51
93022	"CITE4"	167
93056	"CITE4"	135
93088	"CITE4"	264
93090	"CITE4"	90
91005	"CITE5"	1208
91013	"CITE5"	1467
91015	"CITE5"	460
91030	"CITE5"	3026
91034	"CITE5"	2277
91054	"CITE5"	720
91059	"CITE5"	1462
91064	"CITE5"	1029
91072	"CITE5"	782
91103	"CITE5"	529
91114	"CITE5"	2016
91120	"CITE5"	856
91141	"CITE5"	2148
91142	"CITE5"	620
91143	"CITE5"	381
92003	"CITE5"	4062
92006	"CITE5"	1609
92035	"CITE5"	3375
92045	"CITE5"	1764
92048	"CITE5"	1796
92054	"CITE5"	1675
92087	"CITE5"	2419
92094	"CITE5"	26403
92097	"CITE5"	949
92101	"CITE5"	2980
92114	"CITE5"	1798
92137	"CITE5"	3966
92138	"CITE5"	1670
92140	"CITE5"	3059
92141	"CITE5"	2322
92142	"CITE5"	6509
93010	"CITE5"	766
93014	"CITE5"	2063
93018	"CITE5"	443
93022	"CITE5"	1821
93056	"CITE5"	1424
93088	"CITE5"	3678
93090	"CITE5"	727
91005	"CITE6"	22
91013	"CITE6"	25
91015	"CITE6"	10
91030	"CITE6"	51
91034	"CITE6"	62
91054	"CITE6"	5
91059	"CITE6"	24
91064	"CITE6"	23
91072	"CITE6"	19
91103	"CITE6"	15
91114	"CITE6"	33
91120	"CITE6"	14
91141	"CITE6"	47
91142	"CITE6"	9
91143	"CITE6"	11
92003	"CITE6"	76
92006	"CITE6"	52
92035	"CITE6"	101
92045	"CITE6"	39
92048	"CITE6"	24
92054	"CITE6"	58
92087	"CITE6"	24
92094	"CITE6"	741
92097	"CITE6"	21
92101	"CITE6"	75
92114	"CITE6"	49
92137	"CITE6"	46
92138	"CITE6"	69
92140	"CITE6"	55
92141	"CITE6"	81
92142	"CITE6"	248
93010	"CITE6"	10
93014	"CITE6"	30
93018	"CITE6"	6
93022	"CITE6"	25
93056	"CITE6"	21
93088	"CITE6"	37
93090	"CITE6"	22
91005	"NonConcerne"	1238
91013	"NonConcerne"	1653
91015	"NonConcerne"	524
91030	"NonConcerne"	2661
91034	"NonConcerne"	2327
91054	"NonConcerne"	764
91059	"NonConcerne"	1404
91064	"NonConcerne"	1036
91072	"NonConcerne"	774
91103	"NonConcerne"	562
91114	"NonConcerne"	2290
91120	"NonConcerne"	929
91141	"NonConcerne"	1701
91142	"NonConcerne"	850
91143	"NonConcerne"	412
92003	"NonConcerne"	4798
92006	"NonConcerne"	1328
92035	"NonConcerne"	2962
92045	"NonConcerne"	1515
92048	"NonConcerne"	1878
92054	"NonConcerne"	1364
92087	"NonConcerne"	2349
92094	"NonConcerne"	17431
92097	"NonConcerne"	960
92101	"NonConcerne"	2112
92114	"NonConcerne"	1646
92137	"NonConcerne"	4743
92138	"NonConcerne"	1464
92140	"NonConcerne"	3603
92141	"NonConcerne"	1825
92142	"NonConcerne"	4291
93010	"NonConcerne"	952
93014	"NonConcerne"	2335
93018	"NonConcerne"	509
93022	"NonConcerne"	1901
93056	"NonConcerne"	1510
93088	"NonConcerne"	3152
93090	"NonConcerne"	922
