zone_name,NCakes_rare,NCakes_l1,NCakes_1_2,NCakes_3_5,NCakes_6m
"E05001341",788.7496,1083.087,3243.491,3429.721,2799.951
"E05001342",1027.168,1281.698,3895.244,4122.652,3094.239
"E05001343",926.5318,1259.879,3818.923,3970.354,3155.313
"E05001344",1015.429,1121.801,3473.085,3503.431,2353.254
"E05001345",1507.246,1394.03,4242.255,4123.901,2343.568
"E05001346",1380.517,1343.121,4190.762,4384.934,2214.666
"E05001347",2030.488,1468.18,4808.129,7922.088,1681.115
"E05001348",1040.052,1174.773,3562.537,3456.14,2339.497
"E05001349",816.2757,1131.446,3404.589,3583.401,3008.289
"E05001350",1218.7,1283.018,3732.672,3711.147,2595.464
"E05001351",1149.97,1176.715,3748.55,3618.266,2198.5
"E05001352",934.4416,1072.336,3559.614,3634.233,2053.375
"E05001353",918.9893,1186.807,3493.203,3713.727,2820.274
"E05001354",677.4254,946.1523,2857.008,3029.763,2408.652
"E05001355",1196.71,1153.158,3749.179,3666.576,2222.376
"E05001356",995.5418,1169.456,3581.889,3590.43,2678.683
"E05001357",1153.808,1217.382,3498.346,3426.038,2480.425
"E05001358",1552.208,1416.026,4306.451,4253.147,2297.168
"E05001359",1453.772,1287.276,4104.586,4190.749,2142.617
"E05001360",933.625,1183.684,3518.908,3702.542,2699.241
"E05001361",1152.941,1250.887,3623.927,3576.16,2530.086
"E05001362",1009.628,1127.131,3388.394,3515.785,2425.061
"E05001363",1074.221,1231.575,3692.031,3627.587,2620.585
"E05001364",1154.604,1224.759,4046.874,4454.391,2258.372
"E05001365",1541.816,1471.868,4326.89,4129.095,2733.33
"E05001366",520.4231,795.0496,2368.377,2542.555,2079.596
"E05001367",996.3626,1060.91,3113.027,3039.665,2172.035
"E05001368",1095.407,1205.545,3487.233,3506.009,2526.805
"E05001369",772.9461,1044.935,3116.72,3253.079,2658.319
"E05001370",957.0417,1096.865,3265.335,3303.233,2495.525
"E05001371",727.1841,822.8037,2390.928,2451.593,1899.492
"E05001372",726.9758,899.3874,2644.114,2576.089,2060.434
"E05001373",754.8888,855.8646,2503.203,2535.555,1924.489
"E05001374",609.1226,823.1774,2459.433,2564.737,2039.53
"E05001375",596.7382,796.1556,2374.542,2504.5,2023.064
"E05001376",877.9653,949.258,2757.127,2693.096,1988.554
"E05001377",599.7622,766.4562,2313.686,2342.798,1861.298
"E05001378",613.9335,826.2873,2452.079,2595.25,2111.45
"E05001379",935.9994,931.5789,2672.054,2592.041,1793.327
"E05001380",1067.006,1008.174,3221.914,3195.288,1721.617
"E05001381",698.3071,829.3501,2410.238,2472.328,1946.777
"E05001382",614.3989,818.204,2450.78,2530.658,2008.959
"E05001383",697.1795,873.6677,2687.298,2830.359,2036.496
"E05001384",796.624,878.3806,2552.94,2635.454,1963.601
"E05001385",793.0138,904.8457,2651.938,2598.89,1993.312
"E05001386",951.2349,914.8583,2627.314,2648.848,1917.744
"E05001387",773.8481,866.4239,2580.685,2541.224,1875.819
"E05001389",1394.413,1398.818,4296.884,4111.389,2713.496
"E05001390",1247.139,1275.695,4178.287,4087.808,2647.071
"E05001391",1193.686,1314.861,4133.524,4100.956,2884.973
"E05001392",960.0002,1168.988,3475.47,3581.839,2781.703
"E05001393",1002.853,1210.083,3552.11,3700.761,2908.193
"E05001396",1272.262,1291.213,3902.906,3857.708,2608.912
"E05001397",813.4417,1146.423,3412.729,3634.575,3083.831
"E05001398",1295.28,1344.619,4062.289,4091.768,2941.043
"E05001399",1171.867,1242.268,4124.636,4039.748,2584.48
"E05001400",1317.53,1278.765,4118.64,4073.498,2508.567
"E05001401",1149.252,1331.316,3937.425,4073.791,2977.216
"E05001402",1489.53,1350.304,4531.379,4793.342,2444.445
"E05001403",1028.351,1187.217,3686.912,3721.417,2682.103
"E05001405",933.0265,1335.367,4017.342,4198.878,3454.386
"E05001407",1118.539,1365.281,4105.374,4207.638,3137.168
"E05001408",1157.592,1412.459,4103.268,4253.207,3314.474
"E05001409",1096.099,1379.314,4121.874,4285.684,3448.028
"E05001410",1685.685,1369.134,4729.579,5844.794,1991.809
